row_id,waktu,tweet_id,username,tweet,web,kota,provinsi
87,3/24/2021 2:49,1.37E+18,Kodim Karanganyar,"Colomadu dan Satpol PP Colomadu melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) skala Mikro. ",https: / / t. co/ Yy8aQJ6W,Karang Anyar,
88,3/24/2021 2:49,1.37E+18,Kodim Karanganyar,"Colomadu dan Satpol PP Colomadu melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) skala Mikro. ",https: / / t. co/ GlT7HfuuS,Karang Anyar,
93,3/24/2021 2:40,1.37E+18,Kodim0504Jakarta latan,"Peltu Mucherlis babinsa Kel . Pulo Koramil 05 Ke baru dalam rangka pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM)  menggelar Operasi Yustisi Protokol Covid- 19 bersama 3 Pilar tingkat Kecamatan Ke baru bertempat di Lingkungan RW 06 , Kel Pulo Ke baru Jak l. ",https: / / t. co/ r5TM1QPWOV,,
94,3/24/2021 2:27,1.37E+18,Kodim bantaeng,"babinsa Koramil 1410- 02/ Eremberasa Kodim 1410/ bantaeng  rtu Kamiluddin melaksanakan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro covid- 19,  Edukasi terhadap warga binaan,  di Desa Lonrong,  Kec.  Eremberasa,  Kabupaten bantaeng  cara Persuasif  rta Humanis.  Rabu,  24/ 03/ 21",https: / / t. co/ HgLdK6uun7,bantaeng,
95,3/24/2021 2:23,1.37E+18,Penerangan Kodim 0727 Karanganyar,"Karanganyar -   Koptu  tyo Nur  anggota Koramil 16/ Colomadu dan Satpol PP melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan kegiatan Masyarakat ( PpkM) skala Mikro Kabupaten Karanganyar di wilayah Colomadu. ", https: / / t. co/ DhICF0xyH9,Karanganyar,
96,3/24/2021 2:22,1.37E+18,Penerangan Kodim 0727 Karanganyar,"Karanganyar -  Rabu 24 Maret  2021,   rma Tri Gunawan  dan Koptu  tyo Nur  anggota Koramil 16/ Colomadu dan Satpol PP melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan kegiatan Masyarakat ( PpkM) skala Mikro Kabupaten Karanganyar. ",https: / / t. co/ qHo50jRW1D,Karanganyar,
97,3/24/2021 2:18,1.37E+18,Humas Polsek awang,"Patroli dialogis dengan warga Masyarakat memberikan Sosialisasi pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM),  agar protokol kesehatan tetap dilaksanakananakan Guna cegah penyebaran Virus Covid 19 dan antisipasi gangguan kamtimas curat,  curas,  curanmor",https: / / t. co/ IbuZK3xMvgg,,
98,3/24/2021 2:16,1.37E+18,eritajatim,Wakil bupati (Waup) Mojokerto Muhammad Al arra bersama Dandim 0815 Letkol Inf Dwi Mawan Sutanto meninjau pelaksanaan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Mikro. ,https: / / t. co/ mODwaylLxA,mojokerto,
99,3/24/2021 1:45,1.37E+18,Polsek Jebres Surakarta,Tegakkan Disiplin 5 M Polsek Jebres Gelar Ops Yustisi.   Dalam rangka menegakkan pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasiskan Mikro Polsek Jebres Menggelar Ops Yustisi   ,https: / / t. co/ vu329IXpqM,,
100,3/24/2021 1:19,1.37E+18,KAI Commuter,Dapid_saputra  hubungan saat ini dalam masa Pemberlakukan  pembatasan Kegiatan Masyarakat (PpkM) untuk operasional KRL mulai pkl.  04. 00- 22. 00 wib.  ,https: / / t. co/ LAwibfM97g0,Cikarang,
101,3/24/2021 0:02,1.37E+18,Polsek Jatikalen,Operasi YUSTISI Polsek JATIKALEN pemberlakuan  pembatasan KEGIATAN Masyarakat (PpkM) MIKRO KEPADA WARGA ,https: / / t. co/ T0aFAoRNCo,,
102,3/23/2021 23:51,1.37E+18,@koramilcolomadu," anggota Koramil 16/ Colomadu dan Satpol PP Colomadu melaksanakan Patroli Pendisplinan Protokol kesehatan Covid 19,  pada masa pemberlakuan  pembatasan kegiatan Masyarakat ( PpkM) skala Mikro   Karanganyar di wilayah Colomadu",https: / / t. co/ HtPmS6OpH,Karanganyar,
